role,fit,natural_percentage,adapted_percentage,compressed,over_time
{'S': 'CEO Chief Executive Officer'},{'N': '76'},"{'S': '[{""F"": 75, ""L"": 95, ""O"": 44, ""W"": 28}]'}","{'S': '[{""F"": 53, ""L"": 88, ""O"": 41, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'CEO Chief Executive Officer'},{'N': '78'},"{'S': '[{""F"": 75, ""L"": 74, ""O"": 18, ""W"": 59}]'}","{'S': '[{""F"": 69, ""L"": 62, ""O"": 30, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Recepcionista'},{'N': '77'},"{'S': '[{""F"": 20, ""L"": 87, ""O"": 67, ""W"": 79}]'}","{'S': '[{""F"": 40, ""L"": 50, ""O"": 75, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '58'},"{'S': '[{""F"": 75, ""L"": 87, ""O"": 36, ""W"": 34}]'}","{'S': '[{""F"": 62, ""L"": 75, ""O"": 46, ""W"": 8}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Administrador Financeiro'},{'N': '57'},"{'S': '[{""F"": 43, ""L"": 74, ""O"": 67, ""W"": 34}]'}","{'S': '[{""F"": 47, ""L"": 39, ""O"": 41, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Infraestrutura'},{'N': '0'},"{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}","{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}",{'BOOL': False},{'BOOL': True}
{'S': 'Tecnico de Producao'},{'N': '57'},"{'S': '[{""F"": 75, ""L"": 22, ""O"": 58, ""W"": 79}]'}","{'S': '[{""F"": 25, ""L"": 62, ""O"": 80, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '47'},"{'S': '[{""F"": 75, ""L"": 45, ""O"": 44, ""W"": 53}]'}","{'S': '[{""F"": 79, ""L"": 75, ""O"": 20, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Business Partner'},{'N': '64'},"{'S': '[{""F"": 28, ""L"": 87, ""O"": 67, ""W"": 59}]'}","{'S': '[{""F"": 8, ""L"": 81, ""O"": 46, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Gestao de Pessoas'},{'N': '41'},"{'S': '[{""F"": 28, ""L"": 45, ""O"": 67, ""W"": 88}]'}","{'S': '[{""F"": 40, ""L"": 50, ""O"": 46, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Executivo de Negocios'},{'N': '67'},"{'S': '[{""F"": 45, ""L"": 87, ""O"": 52, ""W"": 34}]'}","{'S': '[{""F"": 40, ""L"": 81, ""O"": 46, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '54'},"{'S': '[{""F"": 35, ""L"": 28, ""O"": 80, ""W"": 95}]'}","{'S': '[{""F"": 47, ""L"": 39, ""O"": 46, ""W"": 87}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Auxiliar Administrativo'},{'N': '59'},"{'S': '[{""F"": 24, ""L"": 87, ""O"": 67, ""W"": 64}]'}","{'S': '[{""F"": 25, ""L"": 67, ""O"": 72, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Supervisor de Pessoal'},{'N': '35'},"{'S': '[{""F"": 88, ""L"": 87, ""O"": 18, ""W"": 48}]'}","{'S': '[{""F"": 69, ""L"": 86, ""O"": 27, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'CEO Chief Executive Officer'},{'N': '46'},"{'S': '[{""F"": 45, ""L"": 51, ""O"": 67, ""W"": 53}]'}","{'S': '[{""F"": 32, ""L"": 67, ""O"": 59, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenadora de Gestao de Pessoas'},{'N': '40'},"{'S': '[{""F"": 28, ""L"": 51, ""O"": 88, ""W"": 88}]'}","{'S': '[{""F"": 8, ""L"": 62, ""O"": 59, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Recursos Humanos'},{'N': '51'},"{'S': '[{""F"": 43, ""L"": 59, ""O"": 44, ""W"": 88}]'}","{'S': '[{""F"": 37, ""L"": 86, ""O"": 59, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Advogado Especialista em Meio Ambiente'},{'N': '73'},"{'S': '[{""F"": 24, ""L"": 87, ""O"": 67, ""W"": 92}]'}","{'S': '[{""F"": 32, ""L"": 50, ""O"": 72, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Supervisor de Pessoal'},{'N': '57'},"{'S': '[{""F"": 50, ""L"": 74, ""O"": 80, ""W"": 28}]'}","{'S': '[{""F"": 32, ""L"": 75, ""O"": 46, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Administracao de Pessoal'},{'N': '79'},"{'S': '[{""F"": 43, ""L"": 22, ""O"": 67, ""W"": 92}]'}","{'S': '[{""F"": 25, ""L"": 13, ""O"": 72, ""W"": 90}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Auxiliar de Departamento Pessoal'},{'N': '0'},"{'S': '[{""F"": 50, ""L"": 51, ""O"": 58, ""W"": 53}]'}","{'S': '[{""F"": 40, ""L"": 50, ""O"": 59, ""W"": 73}]'}",{'BOOL': True},{'BOOL': False}
{'S': 'Gerente de Projetos'},{'N': '55'},"{'S': '[{""F"": 43, ""L"": 59, ""O"": 67, ""W"": 59}]'}","{'S': '[{""F"": 37, ""L"": 29, ""O"": 59, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Engenharia Civil'},{'N': '44'},"{'S': '[{""F"": 35, ""L"": 87, ""O"": 52, ""W"": 53}]'}","{'S': '[{""F"": 53, ""L"": 75, ""O"": 30, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Advogado Trabalhista'},{'N': '69'},"{'S': '[{""F"": 43, ""L"": 87, ""O"": 58, ""W"": 64}]'}","{'S': '[{""F"": 37, ""L"": 75, ""O"": 72, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Marketing'},{'N': '47'},"{'S': '[{""F"": 32, ""L"": 74, ""O"": 80, ""W"": 59}]'}","{'S': '[{""F"": 25, ""L"": 75, ""O"": 53, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '45'},"{'S': '[{""F"": 45, ""L"": 19, ""O"": 58, ""W"": 95}]'}","{'S': '[{""F"": 53, ""L"": 22, ""O"": 46, ""W"": 87}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Tecnico de Enfermagem'},{'N': '86'},"{'S': '[{""F"": 24, ""L"": 45, ""O"": 95, ""W"": 95}]'}","{'S': '[{""F"": 8, ""L"": 22, ""O"": 80, ""W"": 87}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Designer de Produto'},{'N': '0'},"{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}","{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}",{'BOOL': False},{'BOOL': True}
{'S': 'Account Manager'},{'N': '33'},"{'S': '[{""F"": 45, ""L"": 22, ""O"": 95, ""W"": 59}]'}","{'S': '[{""F"": 47, ""L"": 50, ""O"": 59, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Recursos Humanos'},{'N': '88'},"{'S': '[{""F"": 75, ""L"": 87, ""O"": 44, ""W"": 34}]'}","{'S': '[{""F"": 76, ""L"": 75, ""O"": 30, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Consultor de vendas Closer'},{'N': '66'},"{'S': '[{""F"": 75, ""L"": 95, ""O"": 29, ""W"": 34}]'}","{'S': '[{""F"": 79, ""L"": 81, ""O"": 27, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Recursos Humanos'},{'N': '0'},"{'S': '[{""F"": 50, ""L"": 59, ""O"": 58, ""W"": 59}]'}","{'S': '[{""F"": 47, ""L"": 29, ""O"": 59, ""W"": 73}]'}",{'BOOL': True},{'BOOL': False}
{'S': 'Diretor_de_Recursos_Humanos'},{'N': '61'},"{'S': '[{""F"": 88, ""L"": 35, ""O"": 25, ""W"": 64}]'}","{'S': '[{""F"": 83, ""L"": 22, ""O"": 27, ""W"": 79}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Negocios'},{'N': '90'},"{'S': '[{""F"": 75, ""L"": 95, ""O"": 25, ""W"": 48}]'}","{'S': '[{""F"": 53, ""L"": 92, ""O"": 20, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Recursos Humanos'},{'N': '40'},"{'S': '[{""F"": 39, ""L"": 28, ""O"": 88, ""W"": 79}]'}","{'S': '[{""F"": 32, ""L"": 22, ""O"": 65, ""W"": 87}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor de Recursos Humanos'},{'N': '67'},"{'S': '[{""F"": 43, ""L"": 87, ""O"": 44, ""W"": 59}]'}","{'S': '[{""F"": 53, ""L"": 67, ""O"": 30, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente_de_Operacoes'},{'N': '80'},"{'S': '[{""F"": 50, ""L"": 95, ""O"": 29, ""W"": 59}]'}","{'S': '[{""F"": 83, ""L"": 22, ""O"": 27, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Qualidade'},{'N': '0'},"{'S': '[{""F"": 45, ""L"": 45, ""O"": 52, ""W"": 53}]'}","{'S': '[{""F"": 53, ""L"": 62, ""O"": 30, ""W"": 90}]'}",{'BOOL': True},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '57'},"{'S': '[{""F"": 39, ""L"": 35, ""O"": 88, ""W"": 88}]'}","{'S': '[{""F"": 37, ""L"": 75, ""O"": 53, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Business Inteligence'},{'N': '87'},"{'S': '[{""F"": 24, ""L"": 35, ""O"": 80, ""W"": 95}]'}","{'S': '[{""F"": 25, ""L"": 22, ""O"": 80, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Consultor de Beneficios'},{'N': '36'},"{'S': '[{""F"": 95, ""L"": 87, ""O"": 15, ""W"": 43}]'}","{'S': '[{""F"": 88, ""L"": 39, ""O"": 20, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Desenvolvimento de RH'},{'N': '66'},"{'S': '[{""F"": 32, ""L"": 45, ""O"": 88, ""W"": 59}]'}","{'S': '[{""F"": 40, ""L"": 62, ""O"": 72, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Treinamento e Desenvolvimento'},{'N': '35'},"{'S': '[{""F"": 20, ""L"": 45, ""O"": 95, ""W"": 92}]'}","{'S': '[{""F"": 32, ""L"": 29, ""O"": 72, ""W"": 87}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Account Manager'},{'N': '53'},"{'S': '[{""F"": 35, ""L"": 95, ""O"": 67, ""W"": 48}]'}","{'S': '[{""F"": 37, ""L"": 67, ""O"": 46, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor de Recursos Humanos'},{'N': '81'},"{'S': '[{""F"": 95, ""L"": 95, ""O"": 18, ""W"": 34}]'}","{'S': '[{""F"": 79, ""L"": 67, ""O"": 27, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Recursos Humanos'},{'N': '61'},"{'S': '[{""F"": 75, ""L"": 74, ""O"": 80, ""W"": 34}]'}","{'S': '[{""F"": 79, ""L"": 50, ""O"": 27, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Recursos Humanos'},{'N': '49'},"{'S': '[{""F"": 60, ""L"": 51, ""O"": 88, ""W"": 43}]'}","{'S': '[{""F"": 69, ""L"": 50, ""O"": 53, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Administrador'},{'N': '76'},"{'S': '[{""F"": 28, ""L"": 45, ""O"": 92, ""W"": 88}]'}","{'S': '[{""F"": 25, ""L"": 50, ""O"": 87, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'SDR Sales Development Representative'},{'N': '51'},"{'S': '[{""F"": 43, ""L"": 95, ""O"": 44, ""W"": 48}]'}","{'S': '[{""F"": 53, ""L"": 81, ""O"": 20, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista da Qualidade'},{'N': '80'},"{'S': '[{""F"": 17, ""L"": 51, ""O"": 92, ""W"": 95}]'}","{'S': '[{""F"": 8, ""L"": 22, ""O"": 87, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Designer Grafico'},{'N': '60'},"{'S': '[{""F"": 43, ""L"": 87, ""O"": 44, ""W"": 53}]'}","{'S': '[{""F"": 25, ""L"": 86, ""O"": 27, ""W"": 87}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Agente de Atendimento'},{'N': '56'},"{'S': '[{""F"": 60, ""L"": 22, ""O"": 67, ""W"": 53}]'}","{'S': '[{""F"": 47, ""L"": 50, ""O"": 59, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor de Atendimento'},{'N': '76'},"{'S': '[{""F"": 60, ""L"": 95, ""O"": 29, ""W"": 43}]'}","{'S': '[{""F"": 62, ""L"": 90, ""O"": 20, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Gestao de Pessoas'},{'N': '66'},"{'S': '[{""F"": 43, ""L"": 74, ""O"": 80, ""W"": 43}]'}","{'S': '[{""F"": 32, ""L"": 81, ""O"": 53, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente Administrativo'},{'N': '56'},"{'S': '[{""F"": 43, ""L"": 51, ""O"": 80, ""W"": 59}]'}","{'S': '[{""F"": 32, ""L"": 39, ""O"": 75, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor de Recursos Humanos'},{'N': '45'},"{'S': '[{""F"": 20, ""L"": 74, ""O"": 80, ""W"": 59}]'}","{'S': '[{""F"": 32, ""L"": 88, ""O"": 53, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '68'},"{'S': '[{""F"": 12, ""L"": 95, ""O"": 88, ""W"": 92}]'}","{'S': '[{""F"": 8, ""L"": 75, ""O"": 72, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Auxiliar de Departamento Pessoal'},{'N': '85'},"{'S': '[{""F"": 28, ""L"": 35, ""O"": 88, ""W"": 88}]'}","{'S': '[{""F"": 32, ""L"": 39, ""O"": 65, ""W"": 87}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Auxiliar Administrativo'},{'N': '0'},"{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}","{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}",{'BOOL': False},{'BOOL': True}
{'S': 'Analista de Recursos Humanos'},{'N': '68'},"{'S': '[{""F"": 20, ""L"": 51, ""O"": 88, ""W"": 79}]'}","{'S': '[{""F"": 25, ""L"": 50, ""O"": 80, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Consultor de vendas Closer'},{'N': '68'},"{'S': '[{""F"": 50, ""L"": 95, ""O"": 36, ""W"": 53}]'}","{'S': '[{""F"": 53, ""L"": 75, ""O"": 41, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Enfermeiro'},{'N': '77'},"{'S': '[{""F"": 39, ""L"": 74, ""O"": 67, ""W"": 53}]'}","{'S': '[{""F"": 76, ""L"": 81, ""O"": 20, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista Financeiro'},{'N': '81'},"{'S': '[{""F"": 45, ""L"": 35, ""O"": 58, ""W"": 79}]'}","{'S': '[{""F"": 40, ""L"": 22, ""O"": 59, ""W"": 90}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Recursos Humanos'},{'N': '58'},"{'S': '[{""F"": 45, ""L"": 59, ""O"": 67, ""W"": 48}]'}","{'S': '[{""F"": 40, ""L"": 67, ""O"": 46, ""W"": 79}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Produto'},{'N': '33'},"{'S': '[{""F"": 32, ""L"": 45, ""O"": 92, ""W"": 79}]'}","{'S': '[{""F"": 37, ""L"": 50, ""O"": 41, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor de Recursos Humanos'},{'N': '86'},"{'S': '[{""F"": 88, ""L"": 95, ""O"": 29, ""W"": 34}]'}","{'S': '[{""F"": 79, ""L"": 67, ""O"": 27, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Account Manager'},{'N': '55'},"{'S': '[{""F"": 43, ""L"": 74, ""O"": 67, ""W"": 43}]'}","{'S': '[{""F"": 32, ""L"": 50, ""O"": 59, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Desenvolvedor de Mobile'},{'N': '52'},"{'S': '[{""F"": 39, ""L"": 95, ""O"": 80, ""W"": 34}]'}","{'S': '[{""F"": 47, ""L"": 81, ""O"": 30, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Consultor de vendas Closer'},{'N': '70'},"{'S': '[{""F"": 75, ""L"": 74, ""O"": 36, ""W"": 28}]'}","{'S': '[{""F"": 53, ""L"": 88, ""O"": 30, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Pesquisa'},{'N': '73'},"{'S': '[{""F"": 35, ""L"": 59, ""O"": 80, ""W"": 88}]'}","{'S': '[{""F"": 37, ""L"": 67, ""O"": 59, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Administrador'},{'N': '55'},"{'S': '[{""F"": 14, ""L"": 95, ""O"": 88, ""W"": 88}]'}","{'S': '[{""F"": 8, ""L"": 81, ""O"": 72, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Supervisor de Pessoal'},{'N': '87'},"{'S': '[{""F"": 39, ""L"": 45, ""O"": 88, ""W"": 64}]'}","{'S': '[{""F"": 32, ""L"": 62, ""O"": 65, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Seguranca da Informacao'},{'N': '75'},"{'S': '[{""F"": 43, ""L"": 35, ""O"": 67, ""W"": 88}]'}","{'S': '[{""F"": 53, ""L"": 62, ""O"": 41, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'CEO Chief Executive Officer'},{'N': '78'},"{'S': '[{""F"": 95, ""L"": 95, ""O"": 15, ""W"": 48}]'}","{'S': '[{""F"": 62, ""L"": 90, ""O"": 20, ""W"": 8}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Tecnologia Da Informacao'},{'N': '67'},"{'S': '[{""F"": 45, ""L"": 59, ""O"": 67, ""W"": 53}]'}","{'S': '[{""F"": 40, ""L"": 67, ""O"": 59, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Recursos Humanos'},{'N': '83'},"{'S': '[{""F"": 60, ""L"": 87, ""O"": 44, ""W"": 34}]'}","{'S': '[{""F"": 62, ""L"": 75, ""O"": 27, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Atendimento'},{'N': '42'},"{'S': '[{""F"": 28, ""L"": 59, ""O"": 80, ""W"": 88}]'}","{'S': '[{""F"": 37, ""L"": 81, ""O"": 59, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente Administrativo'},{'N': '62'},"{'S': '[{""F"": 54, ""L"": 74, ""O"": 67, ""W"": 48}]'}","{'S': '[{""F"": 53, ""L"": 39, ""O"": 53, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor de Vendas'},{'N': '66'},"{'S': '[{""F"": 45, ""L"": 87, ""O"": 52, ""W"": 43}]'}","{'S': '[{""F"": 53, ""L"": 67, ""O"": 30, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '53'},"{'S': '[{""F"": 45, ""L"": 45, ""O"": 44, ""W"": 92}]'}","{'S': '[{""F"": 62, ""L"": 22, ""O"": 41, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de Recursos Humanos'},{'N': '72'},"{'S': '[{""F"": 50, ""L"": 87, ""O"": 80, ""W"": 28}]'}","{'S': '[{""F"": 8, ""L"": 90, ""O"": 30, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Director Comercial'},{'N': '56'},"{'S': '[{""F"": 43, ""L"": 87, ""O"": 52, ""W"": 53}]'}","{'S': '[{""F"": 32, ""L"": 81, ""O"": 53, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor de Recursos Humanos'},{'N': '70'},"{'S': '[{""F"": 50, ""L"": 87, ""O"": 58, ""W"": 43}]'}","{'S': '[{""F"": 69, ""L"": 88, ""O"": 20, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente Administrativo'},{'N': '57'},"{'S': '[{""F"": 35, ""L"": 87, ""O"": 80, ""W"": 59}]'}","{'S': '[{""F"": 40, ""L"": 75, ""O"": 41, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Supervisor de Marketing'},{'N': '46'},"{'S': '[{""F"": 35, ""L"": 87, ""O"": 88, ""W"": 48}]'}","{'S': '[{""F"": 40, ""L"": 81, ""O"": 30, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador_de_Assistência'},{'N': '72'},"{'S': '[{""F"": 28, ""L"": 74, ""O"": 80, ""W"": 64}]'}","{'S': '[{""F"": 32, ""L"": 67, ""O"": 75, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Business Partner'},{'N': '76'},"{'S': '[{""F"": 45, ""L"": 87, ""O"": 52, ""W"": 59}]'}","{'S': '[{""F"": 40, ""L"": 75, ""O"": 46, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor Financeiro'},{'N': '37'},"{'S': '[{""F"": 12, ""L"": 59, ""O"": 95, ""W"": 92}]'}","{'S': '[{""F"": 8, ""L"": 67, ""O"": 53, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
